X_S_E,Y_S_E,X_I,Y_I,X_R,Y_R
3.97435897435897,0.971036585365854,4,0.030487804878049,4.01685660018993,-0.001397357723578
5,0.713414634146341,5.00213675213675,0.286543021680217,5.01103988603989,0.002131323396567
5.02564102564102,0.670731707317073,5.00213675213675,0.329945799457994,5.01103988603989,0.002131323396567
5.02564102564102,0.600609756097561,5.99928774928775,0.418868563685637,5.01103988603989,0.002131323396567
5.05128205128205,0.548780487804878,5.00213675213675,0.398755081300813,5.01103988603989,0.002131323396567
5,0.516768292682927,5.01994301994302,0.449568089430894,6.00522317188984,0.001249153116531
5,0.507621951219512,5.03774928774929,0.482384823848238,6.00522317188984,0.001249153116531
6,0.580792682926829,5.01994301994302,0.491912262872629,6.00522317188984,0.001249153116531
6.02564102564103,0.451219512195122,6.03490028490029,0.548018292682927,6.00522317188984,0.001249153116531
6.02564102564103,0.378048780487805,5.99928774928775,0.597772696476965,6.00522317188984,0.010070855916892
6,0.330792682926829,6.02006172839506,0.668169884823848,6.02006172839506,0.016246047877145
6.02564102564103,0.24390243902439,6.00522317188984,0.749329550587172,6.03490028490029,0.025949920957543
7,0.157012195121951,6.02006172839506,0.906355860433604,6.04973884140551,0.017128218157181
8.02564102564103,0.259146341463414,6.00522317188984,0.916941903794038,7.01424501424502,0.000366982836495
6,0.085365853658537,6.02006172839506,0.934585309394761,7.02908357075024,0.014481707317073
6,0.079268292682927,7.02908357075024,0.91870624435411,7.01424501424502,0.028596431797651
6.02564102564103,0.048780487804878,7.02908357075024,0.956639566395664,6.99940645773979,0.059472391598916
8,0.121951219512195,8.02326685660019,0.976929482836495,7.01424501424502,0.09740571364047
8,0.079268292682927,9.01745014245014,0.94164267163505,8.02326685660019,0.025067750677507
8,0.086890243902439,9.01745014245014,0.953110885275519,8.02326685660019,0.023303410117434
8,0.05030487804878,8.02326685660019,0.921352755194219,8.02326685660019,0.018892558717254
8,0.024390243902439,8.00842830009497,0.905473690153568,8.02326685660019,0.015363877597109
7,0.030487804878049,8.00842830009497,0.871069049232159,8.02326685660019,0.004777834236676
7,0.036585365853659,8.02326685660019,0.860483005871725,8.02326685660019,0.002131323396567
7,0.086890243902439,7.99358974358974,0.827842705510388,7.99358974358974,0.00830651535682
10.025641025641,0.070121951219512,7.01424501424502,0.871069049232159,9.01745014245014,0.046239837398374
10.025641025641,-2.22044604925031E-16,6.99940645773979,0.847250451671183,9.03228869895537,0.010070855916892
10,-0.001524390243903,6.99940645773979,0.837546578590786,8.02326685660019,0.122106481481481
9.02564102564102,-0.00609756097561,7.02908357075024,0.817256662149955,8.05294396961064,0.106227416440831
9.02564102564102,0.001524390243902,8.00842830009497,0.722864442186088,9.01745014245014,0.225320404245709
9,0.018292682926829,9.01745014245014,0.755504742547425,9.01745014245014,0.275604110207769
9.02564102564102,0.045731707317073,9.00261158594492,0.726393123306233,9.01745014245014,0.28442581300813
8.02564102564103,-2.22044604925031E-16,9.01745014245014,0.70874971770551,9.03228869895537,0.296776196928636
,,9.01745014245014,0.689341971544715,9.04712725546059,0.310890921409214
,,10.0264719848053,0.655819500903342,10.0264719848053,0.342649051490515
,,9.03228869895537,0.557016429539295,9.01745014245014,0.434394760614273
,,10.0116334283001,0.444980803974706,10.0264719848053,0.557016429539295
,,10.0116334283001,0.395579268292683,10.0116334283001,0.606417965221319
,,10.0264719848053,0.285307983288166,10.0413105413105,0.643469116982836
