,Years,S_E,I,R,S_E_err,I_err,R_err
0,0,,,,,,
1,1,,,,,,
2,2,,,,,,
3,3,,,,,,
4,4,0.971036585365854,0.030487804878049,0.0,,,
5,5,0.5929878048780487,0.4065181797651309,0.002131323396567,0.08444626647445867,0.08392714163797203,0.0
6,6,0.27477134146341464,0.7175052577348691,0.009298956921860625,0.1944619957232202,0.19207722850682307,0.00961105911233215
7,7,0.0777439024390245,0.8747447587323095,0.040064645438121,0.0585783853128233,0.05309878596709716,0.03881549232159004
8,8,0.0888501742160277,0.869430732997806,0.03624190755796433,0.08536909422254757,0.08046216491803648,0.04504686593724156
9,9,0.0148628048780485,0.7616799345076781,0.23546536246612462,0.022963038728147065,0.1415610743984532,0.1412905247538494
10,10,0.02286585365853626,0.44542188911472425,0.5373881408084912,0.04093207799419997,0.15533630107168594,0.13456952700055866
11,11,,,,,,
12,12,,,,,,
